"Data","Kit","Itens","PrecoVenda","Observacao"
"2026-06-03","Kit Festeja","1 Picanha Festeja; 1 Pão de Alho; 1 Linguiça Costela","149,9","Kit da semana"
"2026-06-03","Kit Família Bull","1 Picanha Festeja; 1 Pão de Alho; 1 Linguiça Costela; 1 Medalhão","169,9","Kit da semana"
"2026-06-03","Kit BBQ Secrets","1 Chorizo BBQ Secrets; 1 Medalhão; 1 Pão de Alho","139,9","Kit da semana"
"2026-06-03","Kit Churrascão Bull","1 Picanha Festeja; 1 Contra-filé; 1 Linguiça Costela; 1 Pão de Alho; 1 Medalhão","249,9","Kit da semana"
